Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX
173,0.512,0.512,0.512,0.7634,0.7634,0.7634,0.4314,0.4314,0.4314,0.4711,0.4711,0.4711
174,0.503,0.503,0.503,0.6942,0.6942,0.6942,0.4307,0.4307,0.4307,0.6437,0.6437,0.6437
175,0.5121,0.5121,0.5121,0.6808,0.6808,0.6808,0.4851,0.4851,0.4851,0.6636,0.6636,0.6636
176,0.4186,0.4186,0.4186,0.7434,0.7434,0.7434,0.5212,0.5212,0.5212,0.6726,0.6726,0.6726
177,0.4836,0.4836,0.4836,0.7139,0.7139,0.7139,0.516,0.516,0.516,0.4561,0.4561,0.4561
178,0.343,0.343,0.343,0.7376,0.7376,0.7376,0.5018,0.5018,0.5018,0.6472,0.6472,0.6472
179,0.5052,0.5052,0.5052,0.732,0.732,0.732,0.3938,0.3938,0.3938,0.6643,0.6643,0.6643
180,0.5005,0.5005,0.5005,0.5989,0.5989,0.5989,0.5604,0.5604,0.5604,0.6795,0.6795,0.6795
181,0.4048,0.4048,0.4048,0.6496,0.6496,0.6496,0.6313,0.6313,0.6313,0.6755,0.6755,0.6755
182,0.4507,0.4507,0.4507,0.6151,0.6151,0.6151,0.4674,0.4674,0.4674,0.6589,0.6589,0.6589
183,0.4283,0.4283,0.4283,0.6811,0.6811,0.6811,0.5088,0.5088,0.5088,0.6571,0.6571,0.6571
184,0.3878,0.3878,0.3878,0.7429,0.7429,0.7429,0.4099,0.4099,0.4099,0.6559,0.6559,0.6559
185,0.3985,0.3985,0.3985,0.7575,0.7575,0.7575,0.5684,0.5684,0.5684,0.636,0.636,0.636
186,0.3987,0.3987,0.3987,0.7124,0.7124,0.7124,0.4406,0.4406,0.4406,0.6595,0.6595,0.6595
187,0.3957,0.3957,0.3957,0.6786,0.6786,0.6786,0.4842,0.4842,0.4842,0.6768,0.6768,0.6768
188,0.4651,0.4651,0.4651,0.7325,0.7325,0.7325,0.4459,0.4459,0.4459,0.6545,0.6545,0.6545
189,0.369,0.369,0.369,0.7192,0.7192,0.7192,0.4577,0.4577,0.4577,0.6711,0.6711,0.6711
190,0.5518,0.5518,0.5518,0.758,0.758,0.758,0.5123,0.5123,0.5123,0.6688,0.6688,0.6688
191,0.4291,0.4291,0.4291,0.7168,0.7168,0.7168,0.5139,0.5139,0.5139,0.6573,0.6573,0.6573
192,0.4101,0.4101,0.4101,0.7309,0.7309,0.7309,0.4523,0.4523,0.4523,0.664,0.664,0.664
193,0.5496,0.5496,0.5496,0.7232,0.7232,0.7232,0.4456,0.4456,0.4456,0.6662,0.6662,0.6662
194,0.5144,0.5144,0.5144,0.7607,0.7607,0.7607,0.4965,0.4965,0.4965,0.657,0.657,0.657
195,0.4457,0.4457,0.4457,0.7256,0.7256,0.7256,0.5163,0.5163,0.5163,0.6721,0.6721,0.6721
196,0.5202,0.5202,0.5202,0.721,0.721,0.721,0.4607,0.4607,0.4607,0.665,0.665,0.665
197,0.4308,0.4308,0.4308,0.7213,0.7213,0.7213,0.5492,0.5492,0.5492,0.6768,0.6768,0.6768
198,0.4354,0.4354,0.4354,0.6805,0.6805,0.6805,0.4245,0.4245,0.4245,0.6684,0.6684,0.6684
199,0.3954,0.3954,0.3954,0.7161,0.7161,0.7161,0.3945,0.3945,0.3945,0.6796,0.6796,0.6796
200,0.5234,0.5234,0.5234,0.697,0.697,0.697,0.5051,0.5051,0.5051,0.6715,0.6715,0.6715
201,0.4978,0.4978,0.4978,0.721,0.721,0.721,0.5565,0.5565,0.5565,0.6494,0.6494,0.6494
202,0.5483,0.5483,0.5483,0.6912,0.6912,0.6912,0.5121,0.5121,0.5121,0.6743,0.6743,0.6743
203,0.411,0.411,0.411,0.6955,0.6955,0.6955,0.4618,0.4618,0.4618,0.6623,0.6623,0.6623
204,0.5759,0.5759,0.5759,0.7076,0.7076,0.7076,0.4598,0.4598,0.4598,0.6667,0.6667,0.6667
205,0.537,0.537,0.537,0.7151,0.7151,0.7151,0.5028,0.5028,0.5028,0.6674,0.6674,0.6674
206,0.4292,0.4292,0.4292,0.7624,0.7624,0.7624,0.5002,0.5002,0.5002,0.6259,0.6259,0.6259
207,0.5145,0.5145,0.5145,0.726,0.726,0.726,0.5922,0.5922,0.5922,0.6713,0.6713,0.6713
208,0.5668,0.5668,0.5668,0.7631,0.7631,0.7631,0.4486,0.4486,0.4486,0.6718,0.6718,0.6718
209,0.3787,0.3787,0.3787,0.7624,0.7624,0.7624,0.5279,0.5279,0.5279,0.6711,0.6711,0.6711
210,0.4732,0.4732,0.4732,0.6604,0.6604,0.6604,0.4869,0.4869,0.4869,0.6626,0.6626,0.6626
