Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
156,0.5946,0.5946,0.5946,0.6539,0.6539,0.6539,0.6937,0.6937,0.6937,0.5583,0.5583,0.5583
157,0.5758,0.5758,0.5758,0.6482,0.6482,0.6482,0.6995,0.6995,0.6995,0.6586,0.6586,0.6586
158,0.5972,0.5972,0.5972,0.6778,0.6778,0.6778,0.7057,0.7057,0.7057,0.6204,0.6204,0.6204
159,0.552,0.552,0.552,0.6814,0.6814,0.6814,0.7,0.7,0.7,0.6515,0.6515,0.6515
160,0.6342,0.6342,0.6342,0.6643,0.6643,0.6643,0.6941,0.6941,0.6941,0.6008,0.6008,0.6008
161,0.4886,0.4886,0.4886,0.7065,0.7065,0.7065,0.6805,0.6805,0.6805,0.6785,0.6785,0.6785
162,0.646,0.646,0.646,0.6715,0.6715,0.6715,0.6737,0.6737,0.6737,0.6163,0.6163,0.6163
163,0.6243,0.6243,0.6243,0.7264,0.7264,0.7264,0.6843,0.6843,0.6843,0.6346,0.6346,0.6346
164,0.6448,0.6448,0.6448,0.7046,0.7046,0.7046,0.6845,0.6845,0.6845,0.5802,0.5802,0.5802
165,0.6249,0.6249,0.6249,0.7778,0.7778,0.7778,0.688,0.688,0.688,0.5393,0.5393,0.5393
166,0.6299,0.6299,0.6299,0.739,0.739,0.739,0.6891,0.6891,0.6891,0.5907,0.5907,0.5907
167,0.6468,0.6468,0.6468,0.7322,0.7322,0.7322,0.6747,0.6747,0.6747,0.5651,0.5651,0.5651
168,0.6301,0.6301,0.6301,0.7369,0.7369,0.7369,0.6659,0.6659,0.6659,0.546,0.546,0.546
169,0.6302,0.6302,0.6302,0.7332,0.7332,0.7332,0.6682,0.6682,0.6682,0.5493,0.5493,0.5493
170,0.4476,0.4476,0.4476,0.7052,0.7052,0.7052,0.6678,0.6678,0.6678,0.5483,0.5483,0.5483
171,0.598,0.598,0.598,0.66,0.66,0.66,0.691,0.691,0.691,0.6293,0.6293,0.6293
172,0.6152,0.6152,0.6152,0.7815,0.7815,0.7815,0.6989,0.6989,0.6989,0.634,0.634,0.634
